mode,seed,noise,sp_tr,sp_te,mcp_tr,mcp_te
noise_sweep,0,0.0,0.8303571428571429,0.8375,0.9607142857142857,0.9375
noise_sweep,1,0.0,0.8178571428571428,0.8666666666666667,0.9464285714285714,0.9708333333333333
noise_sweep,2,0.0,0.8321428571428572,0.8333333333333334,0.9535714285714286,0.9541666666666667
noise_sweep,3,0.0,0.9035714285714286,0.925,0.9035714285714286,0.925
noise_sweep,4,0.0,0.8482142857142857,0.7958333333333333,0.9571428571428572,0.9458333333333333
noise_sweep,0,0.1,0.8464285714285714,0.8625,1.0,1.0
noise_sweep,1,0.1,0.7857142857142857,0.8375,1.0,1.0
noise_sweep,2,0.1,0.8285714285714286,0.8375,1.0,1.0
noise_sweep,3,0.1,0.8571428571428571,0.8791666666666667,1.0,1.0
noise_sweep,4,0.1,0.8464285714285714,0.7916666666666666,1.0,1.0
noise_sweep,0,0.2,0.8035714285714286,0.8,0.9517857142857142,0.9416666666666667
noise_sweep,1,0.2,0.7285714285714285,0.7791666666666667,0.9517857142857142,0.9166666666666666
noise_sweep,2,0.2,0.7785714285714286,0.75,0.9553571428571429,0.9208333333333333
noise_sweep,3,0.2,0.7928571428571428,0.825,0.9517857142857142,0.9291666666666667
noise_sweep,4,0.2,0.8017857142857143,0.7583333333333333,0.9553571428571429,0.9333333333333333
noise_sweep,0,0.3,0.7142857142857143,0.7375,0.8410714285714286,0.775
noise_sweep,1,0.3,0.7482142857142857,0.7791666666666667,0.8375,0.8541666666666666
noise_sweep,2,0.3,0.7214285714285714,0.6833333333333333,0.8553571428571428,0.8041666666666667
noise_sweep,3,0.3,0.7214285714285714,0.7416666666666667,0.8482142857142857,0.8333333333333334
noise_sweep,4,0.3,0.7553571428571428,0.7291666666666666,0.85,0.8208333333333333
